id;code;accuracy;basePower;category;description;shortDescription;name;pp;priority;type
156;rest;1000;0;Status;The user falls asleep for the next two turns and restores all of its HP, curing itself of any major status condition in the process. Fails if the user has full HP, is already asleep, or if another effect is preventing sleep.;User sleeps 2 turns and restores HP and status.;Rest;10;0;Psychic
157;rockslide;90;75;Physical;Has a 30% chance to flinch the target.;30% chance to flinch the foe(s).;Rock Slide;10;0;Rock
158;hyperfang;90;80;Physical;Has a 10% chance to flinch the target.;10% chance to flinch the target.;Hyper Fang;15;0;Normal
159;sharpen;1000;0;Status;Raises the user's Attack by 1 stage.;Raises the user's Attack by 1.;Sharpen;30;0;Normal
160;conversion;1000;0;Status;The user's type changes to match the original type of the move in its first move slot. Fails if the user cannot change its type, or if the type is one of the user's current types.;Changes user's type to match its first move.;Conversion;30;0;Normal
161;triattack;100;80;Special;Has a 20% chance to either burn, freeze, or paralyze the target.;20% chance to paralyze or burn or freeze target.;Tri Attack;10;0;Normal
162;superfang;90;0;Physical;Deals damage to the target equal to half of its current HP, rounded down, but not less than 1 HP.;Does damage equal to 1/2 target's current HP.;Super Fang;10;0;Normal
163;slash;100;70;Physical;Has a higher chance for a critical hit.;High critical hit ratio.;Slash;20;0;Normal
164;substitute;1000;0;Status;The user takes 1/4 of its maximum HP, rounded down, and puts it into a substitute to take its place in battle. The substitute is removed once enough damage is inflicted on it, or if the user switches out or faints. Baton Pass can be used to transfer the substitute to an ally, and the substitute will keep its remaining HP. Until the substitute is broken, it receives damage from all attacks made by other Pokemon and shields the user from status effects and stat stage changes caused by other Pokemon. Sound-based moves and Pokemon with the Ability Infiltrator ignore substitutes. The user still takes normal damage from weather and status effects while behind its substitute. If the substitute breaks during a multi-hit attack, the user will take damage from any remaining hits. If a substitute is created while the user is partially trapped, the partial-trapping effect ends immediately. This move fails if the user does not have enough HP remaining to create a substitute, or if it already has a substitute.;User takes 1/4 its max HP to put in a Substitute.;Substitute;10;0;Normal
165;struggle;1000;50;Physical;"Deals typeless damage to one adjacent foe at random. If this move was successful, the user loses 1/4 of its maximum HP, rounded half up; the Ability Rock Head does not prevent this. This move can only be used if none of the user's known moves can be selected.";User loses 25% of its max HP as recoil.;Struggle;1;0;Normal
166;sketch;1000;0;Status;This move is permanently replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, or if the move is Chatter, Sketch, Struggle, or any move the user knows.;Permanently copies the last move target used.;Sketch;1;0;Normal
167;triplekick;90;10;Physical;Hits three times. Power increases to 20 for the second hit and 30 for the third. This move checks accuracy for each hit, and the attack ends if the target avoids any of the hits. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit three times.;Hits 3 times. Each hit can miss, but power rises.;Triple Kick;10;0;Fighting
168;thief;100;60;Physical;If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Ability Harvest.;If the user has no item, it steals the target's.;Thief;25;0;Dark
169;spiderweb;1000;0;Status;Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field.;The target cannot switch out.;Spider Web;10;0;Bug
170;mindreader;1000;0;Status;On the following turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. Fails if the user used this move successfully last turn and that target is still active.;User's next move will not miss the target.;Mind Reader;5;0;Normal
171;nightmare;100;0;Status;Causes the target to lose 1/4 of its maximum HP, rounded down, at the end of each turn as long as it is asleep. This move does not affect the target unless it is asleep. The effect ends when the target wakes up, even if it falls asleep again in the same turn.;A sleeping target is hurt by 1/4 max HP per turn.;Nightmare;15;0;Ghost
172;flamewheel;100;60;Physical;Has a 10% chance to burn the target.;10% chance to burn the target. Thaws user.;Flame Wheel;25;0;Fire
173;snore;100;50;Special;Has a 30% chance to flinch the target. Fails if the user is not asleep.;User must be asleep. 30% chance to flinch target.;Snore;15;0;Normal
174;curse;1000;0;Status;If the user is not a Ghost type, lowers the user's Speed by 1 stage and raises the user's Attack and Defense by 1 stage. If the user is a Ghost type, the user loses 1/2 of its maximum HP, rounded down and even if it would cause fainting, in exchange for the target losing 1/4 of its maximum HP, rounded down, at the end of each turn while it is active. If the target uses Baton Pass, the replacement will continue to be affected. Fails if there is no target or if the target is already affected.;Curses if Ghost, else +1 Atk, +1 Def, -1 Spe.;Curse;10;0;Ghost
175;flail;100;;Physical;"Deals damage to the target based on the amount of HP the user has left. X is equal to (user's current HP * 48 / user's maximum HP), rounded down; the base power of this attack is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1.";More power the less HP the user has left.;Flail;15;0;Normal
176;conversion2;1000;0;Status;The user's type changes to match a type that resists or is immune to the type of the last move used by the target, but not either of its current types. The determined type of the move is used rather than the original type. Fails if the target has not made a move, if the user cannot change its type, or if this move would only be able to select one of the user's current types.;Changes user's type to resist target's last move.;Conversion 2;30;0;Normal
177;aeroblast;95;100;Special;Has a higher chance for a critical hit.;High critical hit ratio.;Aeroblast;5;0;Flying
178;cottonspore;100;0;Status;Lowers the target's Speed by 2 stages.;Lowers the target's Speed by 2.;Cotton Spore;40;0;Grass
179;reversal;100;0;Physical;"Deals damage to the target based on the amount of HP the user has left. X is equal to (user's current HP * 48 / user's maximum HP), rounded down; the base power of this attack is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1.";More power the less HP the user has left.;Reversal;15;0;Fighting
180;spite;100;0;Status;Causes the target's last move used to lose 4 PP. Fails if the target has not made a move, if the move has 0 PP, or if it no longer knows the move.;Lowers the PP of the target's last move by 4.;Spite;10;0;Ghost
181;powdersnow;100;40;Special;Has a 10% chance to freeze the target.;10% chance to freeze the foe(s).;Powder Snow;25;0;Ice
182;protect;1000;0;Status;The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails or if the user's last move used is not Detect, Endure, King's Shield, Protect, Quick Guard, Spiky Shield, or Wide Guard. Fails if the user moves last this turn.;Prevents moves from affecting the user this turn.;Protect;10;4;Normal
183;machpunch;100;40;Physical;No additional effect.;Usually goes first.;Mach Punch;30;1;Fighting
184;scaryface;100;0;Status;Lowers the target's Speed by 2 stages.;Lowers the target's Speed by 2.;Scary Face;10;0;Normal
185;feintattack;1000;60;Physical;This move does not check accuracy.;This move does not check accuracy.;Feint Attack;20;0;Dark
186;sweetkiss;75;0;Status;Causes the target to become confused.;Confuses the target.;Sweet Kiss;10;0;Fairy
187;bellydrum;1000;0;Status;Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6.;User loses 50% max HP. Maximizes Attack.;Belly Drum;10;0;Normal
188;sludgebomb;100;90;Special;Has a 30% chance to poison the target.;30% chance to poison the target.;Sludge Bomb;10;0;Poison
189;mudslap;100;20;Special;Has a 100% chance to lower the target's accuracy by 1 stage.;100% chance to lower the target's accuracy by 1.;Mud-Slap;10;0;Ground
190;octazooka;85;65;Special;Has a 50% chance to lower the target's accuracy by 1 stage.;50% chance to lower the target's accuracy by 1.;Octazooka;10;0;Water
191;spikes;1000;0;Status;Sets up a hazard on the foe's side of the field, damaging each foe that switches in, unless it is a Flying-type Pokemon or has the Ability Levitate. Can be used up to three times before failing. Foes lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the foe's side if any foe uses Rapid Spin or Defog, or is hit by Defog.;Hurts grounded foes on switch-in. Max 3 layers.;Spikes;20;0;Ground
192;zapcannon;50;120;Special;Has a 100% chance to paralyze the target.;100% chance to paralyze the target.;Zap Cannon;5;0;Electric
193;foresight;1000;0;Status;Causes the target to have its positive evasiveness stat stage ignored while it is active. Normal- and Fighting-type attacks can hit the target if it is a Ghost type. The effect ends when the target is no longer active. Fails if the target is already affected, or affected by Miracle Eye or Odor Sleuth.;Fighting, Normal hit Ghost. Evasiveness ignored.;Foresight;40;0;Normal
194;destinybond;1000;0;Status;Until the user's next turn, if a foe's attack knocks the user out, that foe faints as well, unless the attack was Doom Desire or Future Sight.;If an opponent knocks out the user, it also faints.;Destiny Bond;5;0;Ghost
195;perishsong;1000;0;Status;Each active Pokemon receives a perish count of 4 if it doesn't already have a perish count. At the end of each turn including the turn used, the perish count of all active Pokemon lowers by 1 and Pokemon faint if the number reaches 0. The perish count is removed from Pokemon that switch out. If a Pokemon uses Baton Pass while it has a perish count, the replacement will gain the perish count and continue to count down.;All active Pokemon will faint in 3 turns.;Perish Song;5;0;Normal
196;icywind;95;55;Special;Has a 100% chance to lower the target's Speed by 1 stage.;100% chance to lower the foe(s) Speed by 1.;Icy Wind;15;0;Ice
197;detect;1000;0;Status;The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails or if the user's last move used is not Detect, Endure, King's Shield, Protect, Quick Guard, Spiky Shield, or Wide Guard. Fails if the user moves last this turn.;Prevents moves from affecting the user this turn.;Detect;5;4;Fighting
198;bonerush;90;25;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Bone Rush;10;0;Ground
199;lockon;1000;0;Status;On the following turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. Fails if the user used this move successfully last turn and that target is still active.;User's next move will not miss the target.;Lock-On;5;0;Normal
200;outrage;100;120;Physical;Deals damage to one adjacent foe at random. The user spends two or three turns locked into this move and becomes confused after the last turn of the effect if it is not already. If the user is prevented from moving or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk, the move is used for one turn and does not confuse the user.;Lasts 2-3 turns. Confuses the user afterwards.;Outrage;10;0;Dragon
201;sandstorm;1000;0;Status;For 5 turns, the weather becomes Sandstorm. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are a Ground, Rock, or Steel type, or have the Abilities Magic Guard, Overcoat, Sand Force, Sand Rush, or Sand Veil. The Special Defense of Rock-type Pokemon is multiplied by 1.5 when taking damage from a special attack during the effect. Lasts for 8 turns if the user is holding Smooth Rock. Fails if the current weather is Sandstorm.;For 5 turns, a sandstorm rages.;Sandstorm;10;0;Rock
202;gigadrain;100;75;Special;The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.;User recovers 50% of the damage dealt.;Giga Drain;10;0;Grass
203;endure;1000;0;Status;The user will survive attacks made by other Pokemon during this turn with at least 1 HP. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails or if the user's last move used is not Detect, Endure, King's Shield, Protect, Quick Guard, Spiky Shield, or Wide Guard. Fails if the user moves last this turn.;The user survives the next hit with at least 1 HP.;Endure;10;4;Normal
204;charm;100;0;Status;Lowers the target's Attack by 2 stages.;Lowers the target's Attack by 2.;Charm;20;0;Fairy
205;rollout;90;30;Physical;If this move is successful, the user is locked into this move and cannot make another move until it misses, 5 turns have passed, or the attack cannot be used. Power doubles with each successful hit of this move and doubles again if Defense Curl was used previously by the user. If this move is called by Sleep Talk, the move is used for one turn.;Power doubles with each hit. Repeats for 5 turns.;Rollout;20;0;Rock
206;falseswipe;100;40;Physical;Leaves the target with at least 1 HP.;Always leaves the target with at least 1 HP.;False Swipe;40;0;Normal
207;swagger;90;0;Status;Raises the target's Attack by 2 stages and confuses it.;Raises the target's Attack by 2 and confuses it.;Swagger;15;0;Normal
208;milkdrink;1000;0;Status;The user restores 1/2 of its maximum HP, rounded half up.;Heals the user by 50% of its max HP.;Milk Drink;10;0;Normal
209;spark;100;65;Physical;Has a 30% chance to paralyze the target.;30% chance to paralyze the target.;Spark;20;0;Electric
210;furycutter;95;40;Physical;"Power doubles with each successful hit, up to a maximum of 160 power; resets to 40 power if the move misses or another move is used.";Power doubles with each hit, up to 160.;Fury Cutter;20;0;Bug
211;steelwing;90;70;Physical;Has a 10% chance to raise the user's Defense by 1 stage.;10% chance to raise the user's Defense by 1.;Steel Wing;25;0;Steel
212;meanlook;1000;0;Status;Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. If the target leaves the field using Baton Pass, the replacement will remain trapped. The effect ends if the user leaves the field.;The target cannot switch out.;Mean Look;5;0;Normal
213;attract;100;0;Status;Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Ability Oblivious or protected by the Ability Aroma Veil are immune.;A target of the opposite gender gets infatuated.;Attract;15;0;Normal
214;sleeptalk;1000;0;Status;One of the user's known moves, besides this move, is selected for use at random. Fails if the user is not asleep. The selected move does not have PP deducted from it, and can currently have 0 PP. This move cannot select Assist, Bide, Chatter, Copycat, Focus Punch, Hold Hands, Me First, Metronome, Mimic, Mirror Move, Nature Power, Sketch, Sleep Talk, Struggle, Uproar, or any two-turn move.;User must be asleep. Uses another known move.;Sleep Talk;10;0;Normal
215;healbell;1000;0;Status;Every Pokemon in the user's party is cured of its major status condition. Active Pokemon with the Ability Soundproof are not cured.;Cures the user's party of all status conditions.;Heal Bell;5;0;Normal
216;return;100;0;Physical;Power is equal to the greater of (user's Happiness * 2/5), rounded down, or 1.;Max 102 power at maximum Happiness.;Return;20;0;Normal
217;present;90;0;Physical;Deals damage or heals the target. 40% chance for 40 power, 30% chance for 80 power, 10% chance for 120 power, and 20% chance to heal the target by 1/4 of its maximum HP, rounded down. This move must hit to be effective.;40, 80, 120 power, or heals target by 1/4 max HP.;Present;15;0;Normal
218;frustration;100;0;Physical;Power is equal to the greater of ((255 - user's Happiness) * 2/5), rounded down, or 1.;Max 102 power at minimum Happiness.;Frustration;20;0;Normal
219;safeguard;1000;0;Status;For 5 turns, the user and its party members cannot have major status conditions or confusion inflicted on them by other Pokemon. It is removed from the user's side if the user or an ally is successfully hit by Defog.;For 5 turns, protects user's party from status.;Safeguard;25;0;Normal
220;painsplit;1000;0;Status;The user and the target's HP become the average of their current HP, rounded down, but not more than the maximum HP of either one.;Shares HP of user and target equally.;Pain Split;20;0;Normal
221;sacredfire;95;100;Physical;Has a 50% chance to burn the target.;50% chance to burn the target. Thaws user.;Sacred Fire;5;0;Fire
222;magnitude;100;0;Physical;"The power of this move varies; 5% chances for 10 and 150 power, 10% chances for 30 and 110 power, 20% chances for 50 and 90 power, and 30% chance for 70 power. Damage doubles if the target is using Dig.";"Hits adjacent Pokemon. Power varies; 2x on Dig.";Magnitude;30;0;Ground
223;dynamicpunch;50;100;Physical;Has a 100% chance to confuse the target.;100% chance to confuse the target.;Dynamic Punch;5;0;Fighting
224;megahorn;85;120;Physical;No additional effect.;No additional effect.;Megahorn;10;0;Bug
225;dragonbreath;100;60;Special;Has a 30% chance to paralyze the target.;30% chance to paralyze the target.;Dragon Breath;20;0;Dragon
226;batonpass;1000;0;Status;The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes, confusion, and certain move effects transferred to it.;User switches, passing stat changes and more.;Baton Pass;40;0;Normal
227;encore;100;0;Status;For 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Encore, Mimic, Mirror Move, Sketch, Struggle, or Transform.;The target repeats its last move for 3 turns.;Encore;5;0;Normal
228;pursuit;100;40;Physical;"If an adjacent foe switches out this turn, this move hits that Pokemon before it leaves the field, even if it was not the original target. If the user moves after a foe using Parting Shot, U-turn, or Volt Switch, but not Baton Pass, it will hit that foe before it leaves the field. Power doubles and no accuracy check is done if the user hits a foe switching out, and the user's turn is over; if a foe faints from this, the replacement Pokemon does not become active until the end of the turn.";Power doubles if a foe is switching out.;Pursuit;20;0;Dark
229;rapidspin;100;20;Physical;If this move is successful and the user has not fainted, the effects of Leech Seed and partial-trapping moves end for the user, and all hazards are removed from the user's side of the field.;Frees user from hazards/partial trap/Leech Seed.;Rapid Spin;40;0;Normal
230;sweetscent;100;0;Status;Lowers the target's evasiveness by 2 stages.;Lowers the foe(s) evasion by 2.;Sweet Scent;20;0;Normal
231;irontail;75;100;Physical;Has a 30% chance to lower the target's Defense by 1 stage.;30% chance to lower the target's Defense by 1.;Iron Tail;15;0;Steel
232;metalclaw;95;50;Physical;Has a 10% chance to raise the user's Attack by 1 stage.;10% chance to raise the user's Attack by 1.;Metal Claw;35;0;Steel
233;vitalthrow;1000;70;Physical;This move does not check accuracy.;This move does not check accuracy. Goes last.;Vital Throw;10;-1;Fighting
234;morningsun;1000;0;Status;The user restores 1/2 of its maximum HP if no weather conditions are in effect, 2/3 of its maximum HP if the weather is Sunny Day, and 1/4 of its maximum HP if the weather is Hail, Rain Dance, or Sandstorm, all rounded half down.;Heals the user by a weather-dependent amount.;Morning Sun;5;0;Normal
235;synthesis;1000;0;Status;The user restores 1/2 of its maximum HP if no weather conditions are in effect, 2/3 of its maximum HP if the weather is Sunny Day, and 1/4 of its maximum HP if the weather is Hail, Rain Dance, or Sandstorm, all rounded half down.;Heals the user by a weather-dependent amount.;Synthesis;5;0;Grass
236;moonlight;1000;0;Status;The user restores 1/2 of its maximum HP if no weather conditions are in effect, 2/3 of its maximum HP if the weather is Sunny Day, and 1/4 of its maximum HP if the weather is Hail, Rain Dance, or Sandstorm, all rounded half down.;Heals the user by a weather-dependent amount.;Moonlight;5;0;Fairy
237;hiddenpower;100;60;Special;This move's type depends on the user's individual values (IVs), and can be any type but Fairy and Normal.;Varies in type based on the user's IVs.;Hidden Power;15;0;Normal
238;crosschop;80;100;Physical;Has a higher chance for a critical hit.;High critical hit ratio.;Cross Chop;5;0;Fighting
239;twister;100;40;Special;Has a 20% chance to flinch the target. Damage doubles if the target is using Bounce, Fly, or Sky Drop.;20% chance to flinch the foe(s).;Twister;20;0;Dragon
240;raindance;1000;0;Status;For 5 turns, the weather becomes Rain Dance. The damage of Water-type attacks is multiplied by 1.5 and the damage of Fire-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Damp Rock. Fails if the current weather is Rain Dance.;For 5 turns, heavy rain powers Water moves.;Rain Dance;5;0;Water
241;sunnyday;1000;0;Status;For 5 turns, the weather becomes Sunny Day. The damage of Fire-type attacks is multiplied by 1.5 and the damage of Water-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Heat Rock. Fails if the current weather is Sunny Day.;For 5 turns, intense sunlight powers Fire moves.;Sunny Day;5;0;Fire
242;crunch;100;80;Physical;Has a 20% chance to lower the target's Defense by 1 stage.;20% chance to lower the target's Defense by 1.;Crunch;15;0;Dark
243;mirrorcoat;100;0;Special;Deals damage to the last foe to hit the user with a special attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals damage with a Base Power of 1 instead. If that foe's position is no longer in use, the damage is done to a random foe in range. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by a foe's special attack this turn.;If hit by special attack, returns double damage.;Mirror Coat;20;-5;Psychic
244;psychup;1000;0;Status;The user copies all of the target's current stat stage changes.;Copies the target's current stat stages.;Psych Up;10;0;Normal
245;extremespeed;100;80;Physical;No additional effect.;Nearly always goes first.;Extreme Speed;5;2;Normal
246;ancientpower;100;60;Special;Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.;10% chance to raise all stats by 1 (not acc/eva).;Ancient Power;5;0;Rock
247;shadowball;100;80;Special;Has a 20% chance to lower the target's Special Defense by 1 stage.;20% chance to lower the target's Sp. Def by 1.;Shadow Ball;15;0;Ghost
248;futuresight;100;120;Special;Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Doom Desire is already in effect for the target's position.;Hits two turns after being used.;Future Sight;10;0;Psychic
249;rocksmash;100;40;Physical;Has a 50% chance to lower the target's Defense by 1 stage.;50% chance to lower the target's Defense by 1.;Rock Smash;15;0;Fighting
250;whirlpool;85;35;Special;"Prevents the target from switching for four or five turns; seven turns if the user is holding Grip Claw. Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute. This effect is not stackable or reset by using this or another partial-trapping move.";Traps and damages the target for 4-5 turns.;Whirlpool;15;0;Water
251;beatup;100;;Physical;"Hits one time for the user and one time for each unfainted Pokemon without a major status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user.";All healthy allies aid in damaging the target.;Beat Up;10;0;Dark
252;fakeout;100;40;Physical;Has a 100% chance to flinch the target. Fails unless it is the user's first turn on the field.;Hits first. First turn out only. 100% flinch chance.;Fake Out;10;3;Normal
253;uproar;100;90;Special;"Deals damage to one adjacent foe at random. The user spends three turns locked into this move. On the first of the three turns, all sleeping active Pokemon wake up. During the three turns, no active Pokemon can fall asleep by any means; Pokemon switched in during the effect do not wake up. If the user is prevented from moving or the attack is not successful against the target during one of the turns, the effect ends.";Lasts 3 turns. Active Pokemon cannot fall asleep.;Uproar;10;0;Normal
254;stockpile;1000;0;Status;Raises the user's Defense and Special Defense by 1 stage. The user's Stockpile count increases by 1. Fails if the user's Stockpile count is 3.;Raises user's Defense, Sp. Def by 1. Max 3 uses.;Stockpile;20;0;Normal
255;spitup;100;0;Special;Power is equal to 100 times the user's Stockpile count. Fails if the user's Stockpile count is 0. Whether or not this move is successful, the user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0.;More power with more uses of Stockpile.;Spit Up;10;0;Normal
256;swallow;1000;0;Status;The user restores its HP based on its Stockpile count. Restores 1/4 of its maximum HP if it's 1, 1/2 of its maximum HP if it's 2, both rounded half down, and all of its HP if it's 3. Fails if the user's Stockpile count is 0. The user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0.;Heals the user based on uses of Stockpile.;Swallow;10;0;Normal
257;heatwave;90;95;Special;Has a 10% chance to burn the target.;10% chance to burn the foe(s).;Heat Wave;10;0;Fire
258;hail;1000;0;Status;For 5 turns, the weather becomes Hail. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are an Ice type, or have the Abilities Ice Body, Magic Guard, Overcoat, or Snow Cloak. Lasts for 8 turns if the user is holding Icy Rock. Fails if the current weather is Hail.;For 5 turns, hail crashes down.;Hail;10;0;Ice
259;torment;100;0;Status;Prevents the target from selecting the same move for use two turns in a row. This effect lasts until the target leaves the field.;Target can't select the same move twice in a row.;Torment;15;0;Dark
260;flatter;100;0;Status;Raises the target's Special Attack by 1 stage and confuses it.;Raises the target's Sp. Atk by 1 and confuses it.;Flatter;15;0;Dark
261;willowisp;85;0;Status;Burns the target.;Burns the target.;Will-O-Wisp;15;0;Fire
262;memento;100;0;Status;Lowers the target's Attack and Special Attack by 2 stages. The user faints unless this move misses or there is no target. Fails entirely if this move hits a substitute, but does not fail if the target's stats cannot be changed.;Lowers target's Attack, Sp. Atk by 2. User faints.;Memento;10;0;Dark
263;facade;100;70;Physical;Power doubles if the user is burned, paralyzed, or poisoned. The physical damage halving effect from the user's burn is ignored.;Power doubles if user is burn/poison/paralyzed.;Facade;20;0;Normal
264;focuspunch;100;150;Physical;The user loses its focus and does nothing if it is hit by a damaging attack this turn before it can execute the move.;Fails if the user takes damage before it hits.;Focus Punch;20;-3;Fighting
265;smellingsalts;100;70;Physical;Power doubles if the target is paralyzed. If the user has not fainted, the target is cured of paralysis.;Power doubles if target is paralyzed, and cures it.;Smelling Salts;10;0;Normal
266;followme;1000;0;Status;Until the end of the turn, all single-target attacks from the foe's team are redirected to the user if they are in range. Such attacks are redirected to the user before they can be reflected by Magic Coat or the Ability Magic Bounce, or drawn in by the Abilities Lightning Rod or Storm Drain. Fails if it is not a Double or Triple Battle.;The foes' moves target the user on the turn used.;Follow Me;20;2;Normal
267;naturepower;1000;0;Status;This move calls another move for use based on the battle terrain. Tri Attack on the regular Wi-Fi terrain, Thunderbolt during Electric Terrain, Moonblast during Misty Terrain, and Energy Ball during Grassy Terrain.;Attack depends on terrain (default Tri Attack).;Nature Power;20;0;Normal
268;charge;1000;0;Status;Raises the user's Special Defense by 1 stage. If the user uses an Electric-type attack on the next turn, its power will be doubled.;Boosts next Electric move and user's Sp. Def by 1.;Charge;20;0;Electric
269;taunt;100;0;Status;Prevents the target from using non-damaging moves for its next three turns. Pokemon with the Ability Oblivious or protected by the Ability Aroma Veil are immune.;For 3 turns, the target can't use status moves.;Taunt;20;0;Dark
270;helpinghand;1000;0;Status;The power of the target's attack this turn is multiplied by 1.5 (this effect is stackable). Fails if there is no ally adjacent to the user, but does not fail if the ally is using a two-turn move.;One adjacent ally's move power is 1.5x this turn.;Helping Hand;20;5;Normal
271;trick;100;0;Status;The user swaps its held item with the target's held item. Fails if either the user or the target is holding a Mail, if neither is holding an item, if the user is trying to give or take a Mega Stone to or from the species that can Mega Evolve with it, or if the user is trying to give or take a Blue Orb, a Red Orb, a Griseous Orb, a Plate, or a Drive to or from a Kyogre, a Groudon, a Giratina, an Arceus, or a Genesect, respectively. Pokemon with the Ability Sticky Hold are immune.;User switches its held item with the target's.;Trick;10;0;Psychic
272;roleplay;1000;0;Status;The user's Ability changes to match the target's Ability. Fails if the user's Ability is Multitype, Stance Change, or already matches the target, or if the target's Ability is Flower Gift, Forecast, Illusion, Imposter, Multitype, Stance Change, Trace, Wonder Guard, or Zen Mode.;User replaces its Ability with the target's.;Role Play;10;0;Psychic
273;wish;1000;0;Status;At the end of the next turn, the Pokemon at the user's position has 1/2 of the user's maximum HP restored to it, rounded half up. Fails if this move is already in effect for the user's position.;Next turn, 50% of the user's max HP is restored.;Wish;10;0;Normal
274;assist;1000;0;Status;A random move among those known by the user's party members is selected for use. Does not select Assist, Belch, Bestow, Bounce, Chatter, Circle Throw, Copycat, Counter, Covet, Destiny Bond, Detect, Dig, Dive, Dragon Tail, Endure, Feint, Fly, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Phantom Force, Protect, Rage Powder, Roar, Shadow Force, Sketch, Sky Drop, Sleep Talk, Snatch, Spiky Shield, Struggle, Switcheroo, Thief, Transform, Trick, or Whirlwind.;Uses a random move known by a team member.;Assist;20;0;Normal
